Customer Key,Customer Name,First Name,Last Name,Customer Value,Customer Email
"AA-10315","Alex Avila","Alex","Avila","Low Value","a.avila@fp20analytics.com"
"AA-10375","Allen Armold","Allen","Armold","Low Value","a.armold@fp20analytics.com"
"AA-10480","Andrew Allen","Andrew","Allen","Low Value","a.allen@fp20analytics.com"
"AA-10645","Anna Andreadi","Anna","Andreadi","Low Value","a.andreadi@fp20analytics.com"
"AB-10015","Aaron Bergman","Aaron","Bergman","Low Value","a.bergman@fp20analytics.com"
"AB-10060","Adam Bellavance","Adam","Bellavance","Low Value","a.bellavance@fp20analytics.com"
"AB-10105","Adrian Barton","Adrian","Barton","Low Value","a.barton@fp20analytics.com"
"AB-10150","Aimee Bixby","Aimee","Bixby","Low Value","a.bixby@fp20analytics.com"
"AB-10165","Alan Barnes","Alan","Barnes","Low Value","a.barnes@fp20analytics.com"
"AB-10255","Alejandro Ballentine","Alejandro","Ballentine","Low Value","a.ballentine@fp20analytics.com"
"AB-10600","Ann Blume","Ann","Blume","Low Value","a.blume@fp20analytics.com"
"AC-10420","Alyssa Crouse","Alyssa","Crouse","Low Value","a.crouse@fp20analytics.com"
"AC-10615","Ann Chong","Ann","Chong","Low Value","a.chong@fp20analytics.com"
"AC-10660","Anna Chung","Anna","Chung","Low Value","a.chung@fp20analytics.com"
"AD-10180","Alan Dominguez","Alan","Dominguez","Low Value","a.dominguez@fp20analytics.com"
"AF-10870","Art Ferguson","Art","Ferguson","Low Value","a.ferguson@fp20analytics.com"
"AF-10885","Art Foster","Art","Foster","Low Value","a.foster@fp20analytics.com"
"AG-10270","Alejandro Grove","Alejandro","Grove","Low Value","a.grove@fp20analytics.com"
"AG-10300","Aleksandra Gannaway","Aleksandra","Gannaway","Low Value","a.gannaway@fp20analytics.com"
"AG-10330","Alex Grayson","Alex","Grayson","Low Value","a.grayson@fp20analytics.com"
"AG-10390","Allen Goldenen","Allen","Goldenen","Low Value","a.goldenen@fp20analytics.com"
"AG-10495","Andrew Gjertsen","Andrew","Gjertsen","Low Value","a.gjertsen@fp20analytics.com"
"AG-10525","Andy Gerbode","Andy","Gerbode","Low Value","a.gerbode@fp20analytics.com"
"AG-10675","Anna Gayman","Anna","Gayman","Low Value","a.gayman@fp20analytics.com"
"AG-10765","Anthony Garverick","Anthony","Garverick","Low Value","a.garverick@fp20analytics.com"
"AG-10900","Arthur Gainer","Arthur","Gainer","Low Value","a.gainer@fp20analytics.com"
"AH-10030","Aaron Hawkins","Aaron","Hawkins","Low Value","a.hawkins@fp20analytics.com"
"AH-10075","Adam Hart","Adam","Hart","Low Value","a.hart@fp20analytics.com"
"AH-10120","Adrian Hane","Adrian","Hane","Low Value","a.hane@fp20analytics.com"
"AH-10195","Alan Haines","Alan","Haines","Low Value","a.haines@fp20analytics.com"
"AH-10210","Alan Hwang","Alan","Hwang","Low Value","a.hwang@fp20analytics.com"
"AH-10465","Amy Hunt","Amy","Hunt","Low Value","a.hunt@fp20analytics.com"
"AH-10585","Angele Hood","Angele","Hood","Low Value","a.hood@fp20analytics.com"
"AH-10690","Anna Häberlin","Anna","Häberlin","Low Value","a.häberlin@fp20analytics.com"
"AI-10855","Arianne Irving","Arianne","Irving","Low Value","a.irving@fp20analytics.com"
"AJ-10780","Anthony Jacobs","Anthony","Jacobs","Low Value","a.jacobs@fp20analytics.com"
"AJ-10795","Anthony Johnson","Anthony","Johnson","Low Value","a.johnson@fp20analytics.com"
"AJ-10945","Ashley Jarboe","Ashley","Jarboe","Low Value","a.jarboe@fp20analytics.com"
"AJ-10960","Astrea Jones","Astrea","Jones","Low Value","a.jones@fp20analytics.com"
"AM-10360","Alice McCarthy","Alice","McCarthy","Low Value","a.mccarthy@fp20analytics.com"
"AM-10705","Anne McFarland","Anne","McFarland","Low Value","a.mcfarland@fp20analytics.com"
"AO-10810","Anthony O'Donnell","Anthony","O'Donnell","Low Value","a.o'donnell@fp20analytics.com"
"AP-10720","Anne Pryor","Anne","Pryor","Low Value","a.pryor@fp20analytics.com"
"AP-10915","Arthur Prichep","Arthur","Prichep","Low Value","a.prichep@fp20analytics.com"
"AR-10345","Alex Russell","Alex","Russell","Low Value","a.russell@fp20analytics.com"
"AR-10510","Andrew Roberts","Andrew","Roberts","Low Value","a.roberts@fp20analytics.com"
"AR-10540","Andy Reiter","Andy","Reiter","Low Value","a.reiter@fp20analytics.com"
"AR-10570","Anemone Ratner","Anemone","Ratner","Low Value","a.ratner@fp20analytics.com"
"AR-10825","Anthony Rawles","Anthony","Rawles","Low Value","a.rawles@fp20analytics.com"
"AS-10045","Aaron Smayling","Aaron","Smayling","Low Value","a.smayling@fp20analytics.com"
"AS-10090","Adam Shillingsburg","Adam","Shillingsburg","Low Value","a.shillingsburg@fp20analytics.com"
"AS-10135","Adrian Shami","Adrian","Shami","Low Value","a.shami@fp20analytics.com"
"AS-10225","Alan Schoenberger","Alan","Schoenberger","Low Value","a.schoenberger@fp20analytics.com"
"AS-10240","Alan Shonely","Alan","Shonely","Low Value","a.shonely@fp20analytics.com"
"AS-10285","Alejandro Savely","Alejandro","Savely","Low Value","a.savely@fp20analytics.com"
"AS-10630","Ann Steele","Ann","Steele","Low Value","a.steele@fp20analytics.com"
"AT-10435","Alyssa Tate","Alyssa","Tate","Low Value","a.tate@fp20analytics.com"
"AT-10735","Annie Thurman","Annie","Thurman","Low Value","a.thurman@fp20analytics.com"
"AW-10840","Anthony Witt","Anthony","Witt","Low Value","a.witt@fp20analytics.com"
"AW-10930","Arthur Wiediger","Arthur","Wiediger","Low Value","a.wiediger@fp20analytics.com"
"AY-10555","Andy Yotov","Andy","Yotov","Low Value","a.yotov@fp20analytics.com"
"AZ-10750","Annie Zypern","Annie","Zypern","Low Value","a.zypern@fp20analytics.com"
"BB-10990","Barry Blumstein","Barry","Blumstein","Low Value","a.blumstein@fp20analytics.com"
"BB-11545","Brenda Bowman","Brenda","Bowman","Low Value","a.bowman@fp20analytics.com"
"BC-11125","Becky Castell","Becky","Castell","Low Value","a.castell@fp20analytics.com"
"BD-11500","Bradley Drucker","Bradley","Drucker","Low Value","a.drucker@fp20analytics.com"
"BD-11560","Brendan Dodson","Brendan","Dodson","Low Value","a.dodson@fp20analytics.com"
"BD-11605","Brian Dahlen","Brian","Dahlen","Low Value","a.dahlen@fp20analytics.com"
"BD-11620","Brian DeCherney","Brian","DeCherney","Low Value","a.decherney@fp20analytics.com"
"BD-11635","Brian Derr","Brian","Derr","Low Value","a.derr@fp20analytics.com"
"BD-11725","Bruce Degenhardt","Bruce","Degenhardt","Low Value","a.degenhardt@fp20analytics.com"
"BD-11770","Bryan Davis","Bryan","Davis","Low Value","a.davis@fp20analytics.com"
"BE-11410","Bobby Elias","Bobby","Elias","Low Value","a.elias@fp20analytics.com"
"BE-11455","Brad Eason","Brad","Eason","Low Value","a.eason@fp20analytics.com"
"BF-10975","Barbara Fisher","Barbara","Fisher","Low Value","a.fisher@fp20analytics.com"
"BF-11005","Barry Franz","Barry","Franz","Low Value","a.franz@fp20analytics.com"
"BF-11020","Barry Französisch","Barry","Französisch","Low Value","a.französisch@fp20analytics.com"
"BF-11080","Bart Folk","Bart","Folk","Low Value","a.folk@fp20analytics.com"
"BF-11170","Ben Ferrer","Ben","Ferrer","Low Value","a.ferrer@fp20analytics.com"
"BF-11215","Benjamin Farhat","Benjamin","Farhat","Low Value","a.farhat@fp20analytics.com"
"BF-11275","Beth Fritzler","Beth","Fritzler","Low Value","a.fritzler@fp20analytics.com"
"BG-11035","Barry Gonzalez","Barry","Gonzalez","Low Value","a.gonzalez@fp20analytics.com"
"BG-11695","Brooke Gillingham","Brooke","Gillingham","Low Value","a.gillingham@fp20analytics.com"
"BG-11740","Bruce Geld","Bruce","Geld","Low Value","a.geld@fp20analytics.com"
"BK-11260","Berenike Kampe","Berenike","Kampe","Low Value","a.kampe@fp20analytics.com"
"BM-11140","Becky Martin","Becky","Martin","Low Value","a.martin@fp20analytics.com"
"BM-11575","Brendan Murry","Brendan","Murry","Low Value","a.murry@fp20analytics.com"
"BM-11650","Brian Moss","Brian","Moss","Low Value","a.moss@fp20analytics.com"
"BM-11785","Bryan Mills","Bryan","Mills","Low Value","a.mills@fp20analytics.com"
"BN-11470","Brad Norvell","Brad","Norvell","Low Value","a.norvell@fp20analytics.com"
"BN-11515","Bradley Nguyen","Bradley","Nguyen","Low Value","a.nguyen@fp20analytics.com"
"BO-11350","Bill Overfelt","Bill","Overfelt","Low Value","a.overfelt@fp20analytics.com"
"BO-11425","Bobby Odegard","Bobby","Odegard","Low Value","a.odegard@fp20analytics.com"
"BP-11050","Barry Pond","Barry","Pond","Low Value","a.pond@fp20analytics.com"
"BP-11095","Bart Pistole","Bart","Pistole","Low Value","a.pistole@fp20analytics.com"
"BP-11155","Becky Pak","Becky","Pak","Low Value","a.pak@fp20analytics.com"
"BP-11185","Ben Peterman","Ben","Peterman","Low Value","a.peterman@fp20analytics.com"
"BP-11230","Benjamin Patterson","Benjamin","Patterson","Low Value","a.patterson@fp20analytics.com"
"BP-11290","Beth Paige","Beth","Paige","Low Value","a.paige@fp20analytics.com"
"BS-11365","Bill Shonely","Bill","Shonely","Low Value","a.shonely@fp20analytics.com"
"BS-11380","Bill Stewart","Bill","Stewart","Low Value","a.stewart@fp20analytics.com"
"BS-11665","Brian Stugart","Brian","Stugart","Low Value","a.stugart@fp20analytics.com"
"BS-11755","Bruce Stewart","Bruce","Stewart","Low Value","a.stewart@fp20analytics.com"
"BS-11800","Bryan Spruell","Bryan","Spruell","Low Value","a.spruell@fp20analytics.com"
"BT-11305","Beth Thompson","Beth","Thompson","Low Value","a.thompson@fp20analytics.com"
"BT-11395","Bill Tyler","Bill","Tyler","Low Value","a.tyler@fp20analytics.com"
"BT-11440","Bobby Trafton","Bobby","Trafton","Low Value","a.trafton@fp20analytics.com"
"BT-11485","Brad Thomas","Brad","Thomas","Low Value","a.thomas@fp20analytics.com"
"BT-11530","Bradley Talbott","Bradley","Talbott","Low Value","a.talbott@fp20analytics.com"
"BT-11680","Brian Thompson","Brian","Thompson","Low Value","a.thompson@fp20analytics.com"
"BV-11245","Benjamin Venier","Benjamin","Venier","Low Value","a.venier@fp20analytics.com"
"BW-11065","Barry Weirich","Barry","Weirich","Low Value","a.weirich@fp20analytics.com"
"BW-11110","Bart Watters","Bart","Watters","Low Value","a.watters@fp20analytics.com"
"BW-11200","Ben Wallace","Ben","Wallace","Low Value","a.wallace@fp20analytics.com"
"CA-11965","Carol Adams","Carol","Adams","Low Value","a.adams@fp20analytics.com"
"CA-12055","Cathy Armstrong","Cathy","Armstrong","Low Value","a.armstrong@fp20analytics.com"
"CA-12265","Christina Anderson","Christina","Anderson","Low Value","a.anderson@fp20analytics.com"
"CA-12310","Christine Abelman","Christine","Abelman","Low Value","a.abelman@fp20analytics.com"
"CA-12775","Cynthia Arntzen","Cynthia","Arntzen","Low Value","a.arntzen@fp20analytics.com"
"CB-12025","Cassandra Brandow","Cassandra","Brandow","Low Value","a.brandow@fp20analytics.com"
"CB-12535","Claudia Bergmann","Claudia","Bergmann","Low Value","a.bergmann@fp20analytics.com"
"CC-12100","Chad Cunningham","Chad","Cunningham","Low Value","a.cunningham@fp20analytics.com"
"CC-12145","Charles Crestani","Charles","Crestani","Low Value","a.crestani@fp20analytics.com"
"CC-12220","Chris Cortes","Chris","Cortes","Low Value","a.cortes@fp20analytics.com"
"CC-12370","Christopher Conant","Christopher","Conant","Low Value","a.conant@fp20analytics.com"
"CC-12430","Chuck Clark","Chuck","Clark","Low Value","a.clark@fp20analytics.com"
"CC-12475","Cindy Chapman","Cindy","Chapman","Low Value","a.chapman@fp20analytics.com"
"CC-12550","Clay Cheatham","Clay","Cheatham","Low Value","a.cheatham@fp20analytics.com"
"CC-12610","Corey Catlett","Corey","Catlett","Low Value","a.catlett@fp20analytics.com"
"CC-12670","Craig Carreira","Craig","Carreira","Low Value","a.carreira@fp20analytics.com"
"CC-12685","Craig Carroll","Craig","Carroll","Low Value","a.carroll@fp20analytics.com"
"CD-11920","Carlos Daly","Carlos","Daly","Low Value","a.daly@fp20analytics.com"
"CD-11980","Carol Darley","Carol","Darley","Low Value","a.darley@fp20analytics.com"
